GHS,GDPpc,ME,GS,CGD
67.12265015,2202.570851,191407113.2,2285951479,7.4521492
258.4942932,11550.55546,10073364021,48371520598,27.259228
114.4596405,7310.901738,3062872914,-18357284493,69.264947
1324.603516,23562.91883,5459643672,10808264729,57.110611
407.6358643,12115.05701,443610413.3,397791992.6,53.704434
5331.817871,48905.4172,27691112417,59008411192,32.211202
4939.875488,54637.00128,3138359204,36671754366,57.107465
275.8093567,14121.40694,1528859592,9090413882,22.508608
1127.186279,47642.44829,1532712766,8002058213,88.237649
36.28233719,4161.090135,3594007980,66416567928,30.500262
342.4999084,18280.19892,631145399.2,7503368579,47.214587
4507.356445,50725.18631,4484652582,33952969141,88.248648
280.4988098,7108.8667,23456750,-111536891.9,94.509579
30.76644707,3044.513887,116142782.4,129541839.4,39.598463
220.2745667,8423.696794,574070189.6,1033636726,32.872792
460.4733276,13788.48206,164638050.3,-132914794.7,39.239713
465.9293213,17253.23161,522430455.5,2553719915,13.587929
928.7993164,14519.84913,29283050314,41210550096,79.019099
671.411499,60995.68111,346706804.4,5677215089,2.8255071
663.7150879,21363.02909,824187016.9,6626961821,31.302202
44.40349197,2053.504418,191065838.8,766251292.1,38.401168
23.50043297,773.5718584,63908678.43,-237973333.4,51.711555
167.5896149,6643.204611,9354384.166,198306535.7,127.21687
67.81181335,3554.525156,408157575.1,942341740.9,30.513513
4754.947754,48633.82978,21343371455,56385916433,38.95003
1381.986206,23663.88529,5370018135,14410698100,23.539501
459.1975708,14316.48581,10018029818,3447582595,38.303719
19.43164635,1059.810775,295236074.3,6133138180,117.50797
869.0777588,19112.40889,0,5608789332,48.664702
69.74924469,4830.751701,501578732.2,8090631489,49.839058
902.1396484,26595.73884,784300763.1,6112075281,76.877191
1731.694458,37766.90166,357380920.8,520372724.5,135.56742
1475.915161,38489.49631,2077722061,12907205278,32.190019
5800.151367,55064.90886,3764033344,43528495621,29.488487
433.2085876,16735.33259,533077263.1,13735935208,37.940596
518.0296021,11617.90876,2462700000,9425985400,41.307584
282.4910278,8454.058198,260900000,784376251.9,48.848942
1300.481689,33820.91873,537440226.9,3463150576,10.037088
224.7367706,8493.901672,88678493.74,219796414.9,27.831789
4205.742676,47481.21382,3429968212,12070544798,51.49385
4379.727051,44826.50747,60417498822,1.23E+11,79.814802
5033.452148,53011.76816,45381722042,4.03E+11,41.642347
66.74941254,4996.638706,189129841.5,2023282411,57.266271
1516.587769,29089.01401,5093788906,-10165953933,182.39235
259.9350281,8317.364117,275014798.5,1348430455,23.916149
33.72011185,2420.600993,199317873.4,25013839.31,40.602924
230.5272827,8989.038274,59724939.47,568250115.1,51.35009
62.35327911,1763.663261,73613.49246,1583856555,30.966919
195.9357452,5561.996312,398460128.4,4230055653,47.49441
981.4230347,29529.30923,1463013911,12559639093,72.662249
6086.311523,55562.42662,0,1727739359,40.08193
69.29309845,6185.993893,64559435281,5.49E+11,44.259789
114.9717865,10935.84175,8178144377,1.45E+11,29.404485
210.3137054,10971.97001,7416385135,15685634212,58.917663
4976.862305,78128.18158,1025063447,33579674478,70.901009
3144.626221,38966.66269,15581608422,38606294412,58.757977
2840.130615,41784.62471,26447892915,60352392209,130.20884
307.1960449,9598.370957,143545555.4,2097457341,102.88818
4168.986328,40858.88438,45387031802,2.85E+11,196.77115
340.6618042,9841.169557,1939718310,260479554.1,94.3473
279.6453247,24862.96612,1390619095,25542346414,19.2
76.61032104,4046.208425,1015384782,-4188699837,55.179013
2283.074707,41001.06689,39170682136,2.90E+11,37.677733
1529.077637,50855.49996,6764636914,33233738163,20.682723
78.82283783,5046.691535,121515805.4,1168546572,58.786107
930.352356,28488.92361,509390110.7,194762987.1,35.8782
719.4434814,16005.25704,2441074857,-10922752267,148.95799
104.5527954,2783.115662,52594810.37,143052966.3,37.106596
56.59902954,1515.64325,15334000,-1790474373,33.95709
1078.179199,33821.19545,812108700,3469065693,38.164691
5782.628418,112822.6058,357671613.7,3496823193,16.652652
24.6708374,1584.422678,66906090.19,351479519.9,46.01697
32.25938416,1037.545868,47416537.07,-319402036.1,57.074026
384.0660706,26648.32965,3494832257,26974917078,50.073791
31.37810516,2248.260816,458709424.7,1159961723,35.9606
2585.563965,41554.93791,64235888.17,2189435569,47.525782
48.81713104,5077.195472,143769318.6,1465530291,75.894443
494.6776428,19795.8685,5781437375,69585571657,35.265804
191.1857758,11651.31745,30629080.99,452227799.2,28.879742
148.7844543,11311.79382,82755201.79,1372589930,72.509978
161.0108643,7314.154487,3461461531,19966959965,65.108808
21.07115555,1283.65987,128320232.4,527799776.8,100.53131
58.04395676,4739.910118,2221961060,15206960086,35.169511
447.2806396,10050.50121,457882191.3,353126044.4,41.636608
47.91536331,3099.306082,404705219.5,9012275424,26.086795
3937.221924,41493.03413,2328156653,11410425765,31.585377
192.0833893,6004.031789,86725444.84,2117942440,33.938327
29.26165009,1161.657065,200183930,1319204414,54.365121
73.92498016,5190.354386,1621218176,22812547357,15.985781
328.4197998,15528.91003,111826544.2,1585359300,39.334369
7936.375,62940.5875,6465750412,64490596909,15.84178
587.6463013,29083.23669,6802665800,-80129811.29,46.416048
44.59296417,4571.414491,11461253917,21597785914,67.046575
381.1130676,12594.34143,348179657.5,3051011128,15.893833
332.5709229,12506.53017,2665785313,21103118361,21.373009
906.8201294,30152.74157,9870680628,43850950714,46.673021
